municipality,household,homeless,transient,institution,urban_area,tribal_or_traditional_area,farm_area,male,population
Umdoni Local Municipality,99,1,262,39850.27142586097,104607.2186177397,11985.390217549902,74391.52150339381,82051.35875776583,156442.8802611416
Umzumbe Local Municipality,56,4,125,0.0,139029.36387646638,15.442093500000002,65512.79220890818,73532.013761062,139044.8059699663
UMuziwabantu Local Municipality,54,3,183,12871.211719329976,100534.2224893799,2374.09130268,54516.21065913827,61263.31485225239,115779.52551139316
Ray Nkonyeni Local Municipality,204,1,998,97837.43040253525,254636.9311737708,9660.081032619968,171980.17461575233,190154.2679931587,362134.4426089752
uMshwathi Local Municipality,10,1,605,15332.360949009892,72093.56327771148,31051.90850312021,55836.57193605163,62641.26079379732,118477.83272986033
uMngeni Local Municipality,59,0,655,86250.14332081159,11491.315629379887,7327.136683379969,50012.08522692855,55056.51040663402,105068.59563358407
Mpofana Local Municipality,0,0,124,23992.012777839653,401.2824015800017,8989.06908119002,15763.96076390996,17618.403496700073,33382.36426061015
Impendle Local Municipality,0,0,45,1593.8033533200078,31352.482493539694,3701.438008449988,17421.837448470225,19225.886406839705,36647.72385531167
The Msunduzi Local Municipality,431,3,5587,616742.6891735981,188013.76671786336,12968.623513279968,390308.4841134411,427416.5952912772,817725.0794047411
Mkhambathini Local Municipality,2,0,384,2592.543286570032,48374.54515160059,10693.15670212998,29228.53229985996,32431.71284043954,61660.24514030446
Richmond Local Municipality,15,0,1899,21065.5234562694,34717.1146250902,6971.018023140012,30440.24629880041,32313.40980569984,62753.656104501104
Okhahlamba Local Municipality,17,1,1051,9711.79825043011,107360.80277033195,26059.87610268024,66226.80945755914,76905.66766588789,143132.47712344155
Inkosi Langalibalele Local Municipality,63,0,1022,68272.60188082345,134436.38497461833,28214.83137864006,107711.26124451864,123212.55698957673,230923.81823407355
Alfred Duma Local Municipality,97,17,2007,176625.7219242323,222148.17800226703,16261.622581299898,193712.65780254893,221322.8647052775,415035.5225078197
Endumeni Local Municipality,20,3,1138,81923.14802050134,3471.4044620999784,14690.781474169857,48390.79166576988,51694.54229099539,100085.33395678402
Nqutu Local Municipality,13,2,340,20922.03381117884,179678.54877751213,531.9666377199997,93058.228102074,108074.32112435171,201132.54922641235
Msinga Local Municipality,1,0,224,2568.2803038500183,197072.4201081845,6360.570899770042,89746.29324352399,116254.97806829328,206001.271311802
Umvoti Local Municipality,46,1,444,29436.83481858931,68405.4747693712,44199.51594958193,63204.367681850345,78837.45785569733,142041.82553754273
Newcastle Local Municipality,174,3,2603,339403.2923009517,153227.2841733339,15079.702936949912,243433.88290796083,264276.3965032232,507710.2794112632
Emadlangeni Local Municipality,0,0,230,10332.403968500032,4093.922612349978,22521.309360299885,18188.93741613009,18758.69852502013,36947.63594115146
Dannhauser Local Municipality,11,1,690,13574.565698149978,116829.0335896601,12346.39258988994,68838.50678425145,73911.48509345553,142749.99187769476
eDumbe Local Municipality,4,0,60,31878.24626593895,46249.26228550044,18607.74341251005,45519.46989060029,51215.782073353264,96735.251963954
