Geography,Metric,Q1_2023,Q2_2023,Q3_2023,Q4_2023,Q1_2024,Qtr_to_qtr_change,Year_on_year_change,Qtr_to_qtr_percent,Year_on_year_percent
KwaZulu-Natal,Population 15–64 yrs,7503.0,7529.0,7556.0,7581.0,7607.0,26.0,104.0,0.3,1.4
KwaZulu-Natal,Labour force,3757.0,3829.0,3958.0,4053.0,4126.0,73.0,370.0,1.8,9.8
KwaZulu-Natal,Employed,2594.0,2642.0,2794.0,2856.0,2891.0,35.0,297.0,1.2,11.4
KwaZulu-Natal,Unemployed,1162.0,1187.0,1164.0,1197.0,1235.0,38.0,73.0,3.2,6.3
KwaZulu-Natal,Not economically active,3746.0,3701.0,3598.0,3528.0,3480.0,-48.0,-266.0,-1.3,-7.1
KwaZulu-Natal,Discouraged work-seekers,976.0,927.0,915.0,790.0,771.0,-19.0,-204.0,-2.4,-21.0
KwaZulu-Natal,Other (not economically active),2771.0,2774.0,2682.0,2738.0,2709.0,-29.0,-62.0,-1.1,-2.2
KwaZulu-Natal,Unemployment rate,30.9,31.0,29.4,29.5,29.9,0.4,-1.0,,
KwaZulu-Natal,Employed/population ratio (absorption),34.6,35.1,37.0,37.7,38.0,0.3,3.4,,
KwaZulu-Natal,Labour force participation rate,50.1,50.9,52.4,53.5,54.2,0.7,4.1,,
KwaZulu-Natal – Non-metro,Population 15–64 yrs,4881.0,4897.0,4913.0,4928.0,4943.0,15.0,62.0,0.3,1.3
KwaZulu-Natal – Non-metro,Labour force,2244.0,2277.0,2384.0,2431.0,2496.0,65.0,252.0,2.7,11.2
KwaZulu-Natal – Non-metro,Employed,1374.0,1411.0,1574.0,1593.0,1618.0,26.0,244.0,1.6,17.8
KwaZulu-Natal – Non-metro,Unemployed,869.0,866.0,809.0,838.0,877.0,39.0,8.0,4.7,0.9
KwaZulu-Natal – Non-metro,Not economically active,2638.0,2620.0,2529.0,2497.0,2448.0,-49.0,-190.0,-2.0,-7.2
KwaZulu-Natal – Non-metro,Discouraged work-seekers,662.0,640.0,631.0,531.0,481.0,-49.0,-181.0,-9.3,-27.3
KwaZulu-Natal – Non-metro,Other (not economically active),1976.0,1980.0,1898.0,1967.0,1967.0,0.0,-9.0,0.0,-0.5
KwaZulu-Natal – Non-metro,Unemployment rate,38.7,38.0,33.9,34.5,35.1,0.6,-3.6,,
KwaZulu-Natal – Non-metro,Employed/population ratio (absorption),28.2,28.8,32.0,32.3,32.7,0.4,4.5,,
KwaZulu-Natal – Non-metro,Labour force participation rate,46.0,46.5,48.5,49.3,50.5,1.2,4.5,,
KwaZulu-Natal – eThekwini,Population 15–64 yrs,2622.0,2632.0,2643.0,2653.0,2663.0,10.0,42.0,0.4,1.6
KwaZulu-Natal – eThekwini,Labour force,1513.0,1552.0,1574.0,1622.0,1631.0,8.0,118.0,0.5,7.8
KwaZulu-Natal – eThekwini,Employed,1220.0,1231.0,1219.0,1263.0,1273.0,9.0,52.0,0.7,4.3
KwaZulu-Natal – eThekwini,Unemployed,293.0,321.0,355.0,359.0,358.0,-1.0,65.0,-0.3,22.2
KwaZulu-Natal – eThekwini,Not economically active,1109.0,1081.0,1068.0,1031.0,1033.0,2.0,-76.0,0.2,-6.9
KwaZulu-Natal – eThekwini,Discouraged work-seekers,314.0,287.0,284.0,259.0,290.0,31.0,-24.0,11.9,-7.5
KwaZulu-Natal – eThekwini,Other (not economically active),795.0,794.0,784.0,771.0,742.0,-29.0,-52.0,-3.8,-6.6
KwaZulu-Natal – eThekwini,Unemployment rate,19.4,20.7,22.5,22.1,22.0,-0.1,2.6,,
KwaZulu-Natal – eThekwini,Employed/population ratio (absorption),46.5,46.8,46.1,47.6,47.8,0.2,1.3,,
KwaZulu-Natal – eThekwini,Labour force participation rate,57.7,58.9,59.6,61.1,61.2,0.1,3.5,,
