Province,Municipality,Ward,VotingDistrict,BallotType,RegisteredVoters,TotalVotesCast,ValidVotesCast,ElectionYear
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,9.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,935.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,WARD,1721.0,990.0,927.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,10.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,WARD,1721.0,990.0,10.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,WARD,1721.0,990.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,10.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,WARD,1721.0,990.0,13.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,WARD,1721.0,990.0,3.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,WARD,1721.0,990.0,13.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400179,PR,1721.0,990.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,3.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,656.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,WARD,1530.0,715.0,657.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,7.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,WARD,1530.0,715.0,8.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,WARD,1530.0,715.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,16.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,WARD,1530.0,715.0,16.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,WARD,1530.0,715.0,3.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,5.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,WARD,1530.0,715.0,7.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400180,PR,1530.0,714.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,15.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,235.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,WARD,1164.0,575.0,237.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,266.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,WARD,1164.0,575.0,277.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,4.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,WARD,1164.0,575.0,4.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,35.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,WARD,1164.0,575.0,33.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,5.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,WARD,1164.0,575.0,5.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,WARD,1164.0,575.0,7.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400191,PR,1164.0,575.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,WARD,2132.0,,,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,13.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,WARD,2132.0,,14.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,WARD,2132.0,,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,34.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,WARD,2132.0,,50.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,WARD,2132.0,,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,4.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,WARD,2132.0,,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400528,PR,2132.0,,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,537.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,WARD,1192.0,565.0,535.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,4.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,WARD,1192.0,565.0,6.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,WARD,1192.0,565.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,9.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,WARD,1192.0,565.0,9.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,WARD,1192.0,565.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,3.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,WARD,1192.0,565.0,6.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400539,PR,1192.0,564.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,3.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,762.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,WARD,1179.0,782.0,738.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,3.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,WARD,1179.0,782.0,5.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,WARD,1179.0,782.0,2.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,7.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,WARD,1179.0,782.0,9.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,WARD,1179.0,782.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,WARD,1179.0,782.0,7.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,1.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400595,PR,1179.0,784.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400607,PR,834.0,366.0,0.0,2000
KwaZulu-Natal,Durban - Durban Metro [Durban Metro],59200001,43400607,PR,834.0,366.0,0.0,2000
