Q13. Voting in the most recent national election;Q9c. Freedom to choose who to vote for;Q12a. Elections ensure MPs reflect views of voters;Q12b. Elections ensure voters remove unrepresentative leaders;Q14a. Freeness and fairness of the last national election;Q14b. How likely powerful find out your vote;Q14c. Last national election: fear political intimidation or violence;Q19b. Elected officials follow voter demands vs follow own ideas;Q24. Choose leaders through elections vs other methods;Q23b-saf. Willing to give up regular elections;Urban or Rural Primary Sampling Unit;Q3. Overall direction of the country;Q4a. Country’s present economic condition;Q4b. Your present living conditions
I voted in the election;Not very free;Not at all well;Not at all well;Not free and fair;Don’t know;Somewhat;Agree very strongly with 2;Agree very strongly with 2;Very willing;Urban;Going in the wrong direction;Very bad;Very bad
I did not vote;Completely free;Not at all well;Not at all well;Not free and fair;Very likely;Not at all;Agree with neither;Agree very strongly with 1;Very willing;Urban;Going in the wrong direction;Very bad;Very bad
I did not vote;Completely free;Fairly well;Fairly well;Don’t know;Don’t know;Not at all;Agree very strongly with 2;Agree very strongly with 1;Very willing;Urban;Going in the wrong direction;Very bad;Fairly good
I voted in the election;Completely free;Not very well;Very well;Free and fair, with major problems;Somewhat likely;Somewhat;Agree very strongly with 1;Agree very strongly with 2;Very willing;Urban;Going in the wrong direction;Very bad;Very bad
I voted in the election;Not at all free;Not at all well;Don’t know;Free and fair, with major problems;Not at all likely;Not at all;Agree with 2;Agree with 1;Don’t know;Rural;Going in the right direction;Very bad;Very bad
I voted in the election;Completely free;Fairly well;Don’t know;Free and fair, but with minor problems;Not at all likely;Not at all;Agree with 1;Agree with 1;Very unwilling;Rural;Going in the wrong direction;Very bad;Fairly bad
I did not vote;Not very free;Not very well;Not very well;Not free and fair;Somewhat likely;A lot;Agree very strongly with 1;Agree very strongly with 1;Very willing;Rural;Going in the wrong direction;Fairly bad;Fairly bad
I voted in the election;Completely free;Not very well;Not at all well;Free and fair, but with minor problems;Somewhat likely;Somewhat;Agree very strongly with 2;Agree very strongly with 2;Unwilling;Rural;Going in the wrong direction;Very bad;Neither good nor bad
I voted in the election;Completely free;Not at all well;Not at all well;Completely free and fair;Not at all likely;A little bit;Agree very strongly with 1;Agree very strongly with 1;Very willing;Rural;Going in the wrong direction;Very bad;Neither good nor bad
I voted in the election;Completely free;Not very well;Not very well;Free and fair, with major problems;Somewhat likely;Not at all;Agree very strongly with 2;Agree with 2;Very unwilling;Rural;Going in the wrong direction;Very bad;Very bad
I voted in the election;Somewhat free;Not very well;Not very well;Completely free and fair;Not at all likely;Not at all;Agree very strongly with 2;Agree very strongly with 1;Willing;Rural;Going in the wrong direction;Very bad;Very bad
I did not vote;Completely free;Fairly well;Not very well;Don’t know;Very likely;Not at all;Agree very strongly with 2;Agree very strongly with 1;Unwilling;Urban;Going in the wrong direction;Very bad;Fairly good
I did not vote;Completely free;Don’t know;Not very well;Don’t know;Don’t know;Not at all;Agree very strongly with 2;Agree very strongly with 1;Willing;Urban;Going in the wrong direction;Fairly bad;Fairly bad
I voted in the election;Somewhat free;Not very well;Not at all well;Free and fair, but with minor problems;Somewhat likely;Not at all;Agree very strongly with 2;Agree very strongly with 1;Willing;Urban;Going in the wrong direction;Neither good nor bad;Fairly bad
I was too young to vote;Completely free;Don’t know;Don’t know;Don’t know;Not at all likely;Not at all;Agree very strongly with 1;Agree very strongly with 1;Very willing;Urban;Going in the right direction;Neither good nor bad;Neither good nor bad
I voted in the election;Completely free;Fairly well;Not very well;Completely free and fair;Not at all likely;Not at all;Agree very strongly with 1;Agree very strongly with 1;Unwilling;Rural;Going in the wrong direction;Very bad;Very bad
I did not vote;Not very free;Not at all well;Not at all well;Not free and fair;Very likely;A little bit;Agree with 1;Agree very strongly with 1;Very willing;Urban;Going in the wrong direction;Very bad;Very bad
