ward,voting_districts,registered_voters
59500001,14,19964
59500002,21,21172
59500003,13,17103
59500004,9,20987
59500005,5,14950
59500006,7,18454
59500007,7,16867
59500008,12,20847
59500009,10,20985
59500010,8,20505
59500011,8,21901
59500012,7,17495
59500013,7,17318
59500014,8,20024
59500015,7,19835
59500016,7,19791
59500017,9,22433
59500018,6,20995
59500019,8,20199
59500020,7,16140
59500021,6,18025
59500022,6,16753
59500023,6,21174
59500024,6,17529
59500025,6,18854
59500026,3,17971
59500027,7,18860
59500028,5,22645
59500029,3,18596
59500030,8,20158
59500031,8,20599
59500032,5,19777
59500033,9,24254
59500034,6,18405
59500035,5,20541
59500036,5,19314
59500037,6,19855
59500038,7,15182
59500039,5,16802
59500040,7,18533
59500041,5,17053
59500042,8,18545
59500043,7,16185
59500044,7,16686
59500045,7,17493
59500046,5,15572
59500047,6,16016
59500048,7,16258
59500049,8,20047
59500050,7,15169
59500051,7,17741
59500052,7,15432
59500053,4,14901
59500054,5,14189
59500055,8,16419
59500056,9,18871
59500057,7,15270
59500058,11,20251
59500059,9,16267
59500060,6,21979
59500061,7,16381
59500062,7,16596
59500063,6,20252
59500064,8,21094
59500065,8,19916
59500066,6,18908
59500067,8,16969
59500068,9,21089
59500069,9,17319
59500070,10,16914
59500071,5,19242
59500072,6,19869
59500073,9,16367
59500074,6,15873
59500075,5,14944
59500076,7,16303
59500077,8,19862
59500078,7,17769
59500079,6,19940
59500080,6,14970
59500081,8,17765
59500082,7,15003
59500083,8,17862
59500084,7,15188
59500085,7,15859
59500086,6,16873
59500087,5,14463
59500088,7,17836
59500089,4,18348
59500090,7,18614
59500091,8,16209
59500092,7,17745
59500093,7,17974
59500094,8,19282
59500095,6,19899
59500096,13,18216
59500097,5,18320
59500098,10,21063
59500099,9,17935
59500100,17,16375
59500101,4,18890
59500102,5,16632
59500103,12,21012
59500104,4,15719
59500105,26,16780
59500106,6,16132
59500107,5,16071
59500108,10,15302
59500109,7,19849
59500110,5,19858
59500111,11,15638
59500112,6,17140
