ward,voting_districts,registered_voters
52106001,4,6348
52106002,3,5780
52106003,3,5499
52106004,5,6622
52106005,3,4937
52106006,2,5410
52106007,5,5863
52106008,6,5599
52106009,5,5797
52106010,4,5723
52106011,6,6023
52106012,4,7254
52106013,6,5503
52106014,7,4442
52106015,6,6312
52106016,4,6045
52106017,5,5737
52106018,2,4211
52106019,1,5642
52106020,4,6163
52106021,6,6343
52106022,6,5607
52106023,5,5966
52106024,5,6384
52106025,5,5872
52106026,2,4615
52106027,3,6757
52106028,4,4864
52106029,7,5561
52106030,8,4901
52106031,4,4832
52106032,6,5379
52106033,5,4766
52106034,8,4920
52106035,6,4506
52106036,7,4958
