ward,voting_districts,registered_voters
52205001,7,8819
52205002,7,7948
52205003,9,10072
52205004,6,7760
52205005,9,10393
52205006,9,8985
52205007,8,8508
52205008,7,7887
52205009,8,8961
52205010,6,8002
52205011,7,10060
52205012,6,7910
52205013,5,8759
52205014,4,8156
52205015,5,9317
52205016,6,9775
52205017,7,9843
52205018,3,8108
52205019,6,8962
52205020,4,8047
52205021,5,8125
52205022,5,8911
52205023,3,8700
52205024,7,10266
52205025,3,8482
52205026,6,9504
52205027,5,9065
52205028,5,9669
52205029,4,7970
52205030,6,10296
52205031,5,9412
52205032,6,10127
52205033,5,9982
52205034,6,8973
52205035,4,9849
52205036,4,9825
52205037,6,8754
52205038,4,7781
52205039,9,7560
52205040,9,7006
52205041,4,9737
