ward,voting_districts,registered_voters
52308001,4,5020
52308002,2,4411
52308003,3,4705
52308004,2,3598
52308005,3,4772
52308006,3,4303
52308007,5,5818
52308008,4,5630
52308009,3,5762
52308010,4,5619
52308011,4,5811
52308012,4,5608
52308013,3,4117
52308014,5,5236
52308015,4,4718
52308016,4,4504
52308017,4,4542
52308018,4,3275
52308019,5,4482
52308020,2,4868
52308021,3,4593
52308022,5,5467
52308023,5,4694
52308024,8,4762
52308025,4,5093
52308026,8,3854
52308027,3,4962
52308028,6,5064
52308029,9,5143
52308030,6,4595
52308031,8,4457
52308032,6,5466
52308033,4,5114
52308034,5,4743
52308035,7,6399
52308036,6,5437
52308037,5,4693
