ward,voting_districts,registered_voters
52502001,8,5341
52502002,3,5488
52502003,2,4526
52502004,3,4597
52502005,3,4023
52502006,4,5367
52502007,2,5195
52502008,3,5754
52502009,3,6288
52502010,4,4937
52502011,3,5435
52502012,4,5111
52502013,3,6573
52502014,3,5634
52502015,3,5396
52502016,2,5293
52502017,4,6037
52502018,4,6431
52502019,4,7283
52502020,3,6207
52502021,6,5290
52502022,3,4888
52502023,4,6148
52502024,4,7057
52502025,3,5882
52502026,4,5889
52502027,4,6065
52502028,4,6794
52502029,3,4484
52502030,4,5451
52502031,3,5818
52502032,3,4742
52502033,3,5096
52502034,2,5111
52502035,6,6993
52502036,3,4902
