ward,voting_districts,registered_voters
52802001,3,6346
52802002,4,3851
52802003,3,7014
52802004,4,5567
52802005,6,5902
52802006,4,5500
52802007,3,5590
52802008,3,5398
52802009,3,6443
52802010,5,5873
52802011,6,5298
52802012,6,8180
52802013,3,4682
52802014,5,4091
52802015,4,5954
52802016,3,5269
52802017,4,6624
52802018,4,6587
52802019,3,6360
52802020,4,6573
52802021,4,5532
52802022,3,6799
52802023,4,5780
52802024,6,7687
52802025,5,6792
52802026,3,6381
52802027,4,6519
52802028,4,6817
52802029,5,7291
52802030,3,5662
52802031,4,5382
52802032,8,6492
52802033,4,5930
52802034,3,5308
52802035,3,6672
52802036,2,5934
