ward,voting_districts,registered_voters
52902001,6,7015
52902002,3,5400
52902003,9,5266
52902004,1,6079
52902005,2,4985
52902006,2,5500
52902007,1,4713
52902008,1,5045
52902009,6,6328
52902010,3,5412
52902011,3,6491
52902012,2,4796
52902013,3,4010
52902014,3,5845
52902015,2,4428
52902016,3,5178
52902017,2,4657
52902018,2,5436
52902019,4,6194
52902020,4,5880
52902021,4,4601
52902022,2,8790
52902023,2,6258
52902024,4,8120
52902025,5,5588
52902026,3,6291
52902027,7,5640
52902028,3,3775
52902029,2,4892
52902030,2,5459
