year,indicator,response_category,percentage
2023,Satisfaction with democracy,Satisfied,2
2023,Satisfaction with democracy,Dissatisfied,82
2023,Satisfaction with democracy,Neutral/uncertain,16
2023,Satisfaction with political leaders,Satisfied,3
2023,Satisfaction with political leaders,Dissatisfied,87
2023,Satisfaction with political leaders,Neutral/uncertain,10
2023,Trust in IEC,Trust,14
2023,Trust in IEC,Distrust,56
2023,Trust in IEC,Neutral/uncertain,30
2023,Trust in national government,Trust,3
2023,Trust in national government,Distrust,80
2023,Trust in national government,Neutral/uncertain,17
2023,Trust in provincial government,Trust,4
2023,Trust in provincial government,Distrust,77
2023,Trust in provincial government,Neutral/uncertain,18
2023,Trust in political parties,Trust,4
2023,Trust in political parties,Distrust,76
2023,Trust in political parties,Neutral/uncertain,20
2023,Trust in celebrities/influencers on voting,Trust,8
2023,Trust in celebrities/influencers on voting,Distrust,55
2023,Trust in celebrities/influencers on voting,Neither trust nor distrust,29
2023,Trust in celebrities/influencers on voting,Don't know,8
2023,Likelihood to follow favourite influencer's voting advice,Likely,14
2023,Likelihood to follow favourite influencer's voting advice,Not very likely,27
2023,Likelihood to follow favourite influencer's voting advice,Not at all likely,52
2023,Likelihood to follow favourite influencer's voting advice,Don't know,7
