year,metric,response_option,voter_category,percentage
2023,Importance of voting,Very/extremely important,All youth,30
2023,Importance of voting,Somewhat important,All youth,28
2023,Importance of voting,Not at all important/uncertain,All youth,42
2023,Importance of voting,Very/extremely important,Planned abstainers,22
2023,Importance of voting,Somewhat important,Planned abstainers,21
2023,Importance of voting,Not at all important/uncertain,Planned abstainers,56
2023,Importance of voting,Very/extremely important,Uncertain voters,40
2023,Importance of voting,Somewhat important,Uncertain voters,36
2023,Importance of voting,Not at all important/uncertain,Uncertain voters,24
2023,Electoral interest,Very/quite interested,All youth,16
2023,Electoral interest,Not very interested,All youth,37
2023,Electoral interest,Not at all interested/uncertain,All youth,47
2023,Electoral interest,Very/quite interested,Planned abstainers,9
2023,Electoral interest,Not very interested,Planned abstainers,26
2023,Electoral interest,Not at all interested/uncertain,Planned abstainers,64
2023,Electoral interest,Very/quite interested,Uncertain voters,25
2023,Electoral interest,Not very interested,Uncertain voters,51
2023,Electoral interest,Not at all interested/uncertain,Uncertain voters,24
2023,Belief 'it is the duty of all citizens to vote',Agree (positive),All youth,40
2023,Belief 'it is the duty of all citizens to vote',Agree (positive),Planned abstainers,32
2023,Belief 'it is the duty of all citizens to vote',Agree (positive),Uncertain voters,51
2023,Political efficacy: 'my vote makes no difference',Positive (disagree),All youth (national),18
2023,Political efficacy: 'my vote makes no difference',Negative (agree),All youth (national),69
2023,Political efficacy: 'my vote makes no difference',Neutral/uncertain,All youth (national),13
2023,"Political efficacy: 'parties are all the same, so voting is pointless'",Positive (disagree),All youth (national),11
2023,"Political efficacy: 'parties are all the same, so voting is pointless'",Negative (agree),All youth (national),78
2023,"Political efficacy: 'parties are all the same, so voting is pointless'",Neutral/uncertain,All youth (national),11
