province,poverty_measure,year,value_percent
South Africa,"Poverty headcount (P0, %)",2011,45.8
South Africa,"Poverty headcount (P0, %)",2015,46.7
South Africa,"Poverty headcount (P0, %)",2023,37.9
Western Cape,"Poverty headcount (P0, %)",2011,23.7
Western Cape,"Poverty headcount (P0, %)",2015,29.2
Western Cape,"Poverty headcount (P0, %)",2023,21.4
Eastern Cape,"Poverty headcount (P0, %)",2011,63.3
Eastern Cape,"Poverty headcount (P0, %)",2015,63.1
Eastern Cape,"Poverty headcount (P0, %)",2023,48.2
Northern Cape,"Poverty headcount (P0, %)",2011,50.0
Northern Cape,"Poverty headcount (P0, %)",2015,50.6
Northern Cape,"Poverty headcount (P0, %)",2023,42.3
Free State,"Poverty headcount (P0, %)",2011,41.6
Free State,"Poverty headcount (P0, %)",2015,42.4
Free State,"Poverty headcount (P0, %)",2023,34.4
KwaZulu-Natal,"Poverty headcount (P0, %)",2011,56.9
KwaZulu-Natal,"Poverty headcount (P0, %)",2015,59.6
KwaZulu-Natal,"Poverty headcount (P0, %)",2023,49.6
North West,"Poverty headcount (P0, %)",2011,49.9
North West,"Poverty headcount (P0, %)",2015,52.8
North West,"Poverty headcount (P0, %)",2023,49.1
Gauteng,"Poverty headcount (P0, %)",2011,24.7
Gauteng,"Poverty headcount (P0, %)",2015,26.3
Gauteng,"Poverty headcount (P0, %)",2023,26.5
Mpumalanga,"Poverty headcount (P0, %)",2011,56.3
Mpumalanga,"Poverty headcount (P0, %)",2015,51.1
Mpumalanga,"Poverty headcount (P0, %)",2023,38.4
Limpopo,"Poverty headcount (P0, %)",2011,65.5
Limpopo,"Poverty headcount (P0, %)",2015,66.0
Limpopo,"Poverty headcount (P0, %)",2023,47.6
South Africa,"Poverty gap (P1, %)",2011,19.7
South Africa,"Poverty gap (P1, %)",2015,20.3
South Africa,"Poverty gap (P1, %)",2023,14.4
Western Cape,"Poverty gap (P1, %)",2011,7.8
Western Cape,"Poverty gap (P1, %)",2015,10.0
Western Cape,"Poverty gap (P1, %)",2023,7.2
Eastern Cape,"Poverty gap (P1, %)",2011,28.7
Eastern Cape,"Poverty gap (P1, %)",2015,30.7
Eastern Cape,"Poverty gap (P1, %)",2023,18.4
Northern Cape,"Poverty gap (P1, %)",2011,20.6
Northern Cape,"Poverty gap (P1, %)",2015,21.2
Northern Cape,"Poverty gap (P1, %)",2023,16.4
Free State,"Poverty gap (P1, %)",2011,16.9
Free State,"Poverty gap (P1, %)",2015,16.3
Free State,"Poverty gap (P1, %)",2023,11.6
KwaZulu-Natal,"Poverty gap (P1, %)",2011,25.9
KwaZulu-Natal,"Poverty gap (P1, %)",2015,27.1
KwaZulu-Natal,"Poverty gap (P1, %)",2023,21.2
North West,"Poverty gap (P1, %)",2011,22.1
North West,"Poverty gap (P1, %)",2015,23.5
North West,"Poverty gap (P1, %)",2023,21.3
Gauteng,"Poverty gap (P1, %)",2011,8.7
Gauteng,"Poverty gap (P1, %)",2015,8.9
Gauteng,"Poverty gap (P1, %)",2023,9.2
Mpumalanga,"Poverty gap (P1, %)",2011,23.7
Mpumalanga,"Poverty gap (P1, %)",2015,21.6
Mpumalanga,"Poverty gap (P1, %)",2023,13.2
Limpopo,"Poverty gap (P1, %)",2011,31.1
Limpopo,"Poverty gap (P1, %)",2015,32.8
Limpopo,"Poverty gap (P1, %)",2023,16.8
South Africa,"Severity of poverty (P2, %)",2011,10.8
South Africa,"Severity of poverty (P2, %)",2015,11.2
South Africa,"Severity of poverty (P2, %)",2023,7.3
Western Cape,"Severity of poverty (P2, %)",2011,3.5
Western Cape,"Severity of poverty (P2, %)",2015,4.7
Western Cape,"Severity of poverty (P2, %)",2023,3.4
Eastern Cape,"Severity of poverty (P2, %)",2011,16.1
Eastern Cape,"Severity of poverty (P2, %)",2015,18.2
Eastern Cape,"Severity of poverty (P2, %)",2023,9.4
Northern Cape,"Severity of poverty (P2, %)",2011,10.7
Northern Cape,"Severity of poverty (P2, %)",2015,11.5
Northern Cape,"Severity of poverty (P2, %)",2023,8.3
Free State,"Severity of poverty (P2, %)",2011,8.6
Free State,"Severity of poverty (P2, %)",2015,8.1
Free State,"Severity of poverty (P2, %)",2023,5.4
KwaZulu-Natal,"Severity of poverty (P2, %)",2011,14.7
KwaZulu-Natal,"Severity of poverty (P2, %)",2015,15.3
KwaZulu-Natal,"Severity of poverty (P2, %)",2023,11.4
North West,"Severity of poverty (P2, %)",2011,12.3
North West,"Severity of poverty (P2, %)",2015,13.1
North West,"Severity of poverty (P2, %)",2023,11.8
Gauteng,"Severity of poverty (P2, %)",2011,4.3
Gauteng,"Severity of poverty (P2, %)",2015,4.1
Gauteng,"Severity of poverty (P2, %)",2023,4.3
Mpumalanga,"Severity of poverty (P2, %)",2011,12.5
Mpumalanga,"Severity of poverty (P2, %)",2015,11.7
Mpumalanga,"Severity of poverty (P2, %)",2023,6.0
Limpopo,"Severity of poverty (P2, %)",2011,18.2
Limpopo,"Severity of poverty (P2, %)",2015,19.7
Limpopo,"Severity of poverty (P2, %)",2023,8.0
South Africa,Poverty share (%),2011,100.0
South Africa,Poverty share (%),2015,100.0
South Africa,Poverty share (%),2023,100.0
Western Cape,Poverty share (%),2011,5.8
Western Cape,Poverty share (%),2015,7.2
Western Cape,Poverty share (%),2023,6.7
Eastern Cape,Poverty share (%),2011,17.6
Eastern Cape,Poverty share (%),2015,16.3
Eastern Cape,Poverty share (%),2023,13.9
Northern Cape,Poverty share (%),2011,2.4
Northern Cape,Poverty share (%),2015,2.4
Northern Cape,Poverty share (%),2023,2.4
Free State,Poverty share (%),2011,4.9
Free State,Poverty share (%),2015,4.7
Free State,Poverty share (%),2023,4.3
KwaZulu-Natal,Poverty share (%),2011,24.7
KwaZulu-Natal,Poverty share (%),2015,24.9
KwaZulu-Natal,Poverty share (%),2023,24.8
North West,Poverty share (%),2011,7.4
North West,Poverty share (%),2015,7.7
North West,Poverty share (%),2023,9.0
Gauteng,Poverty share (%),2011,12.7
Gauteng,Poverty share (%),2015,13.9
Gauteng,Poverty share (%),2023,18.7
Mpumalanga,Poverty share (%),2011,9.6
Mpumalanga,Poverty share (%),2015,8.5
Mpumalanga,Poverty share (%),2023,7.9
Limpopo,Poverty share (%),2011,14.9
Limpopo,Poverty share (%),2015,14.4
Limpopo,Poverty share (%),2023,12.2
