age_group,poverty_measure,year,value_percent
South Africa,"Poverty headcount (P0, %)",2011,45.8
South Africa,"Poverty headcount (P0, %)",2015,46.7
South Africa,"Poverty headcount (P0, %)",2023,37.9
0-17,"Poverty headcount (P0, %)",2011,56.6
0-17,"Poverty headcount (P0, %)",2015,58.6
0-17,"Poverty headcount (P0, %)",2023,49.1
18-24,"Poverty headcount (P0, %)",2011,50.3
18-24,"Poverty headcount (P0, %)",2015,50.9
18-24,"Poverty headcount (P0, %)",2023,41.9
25-34,"Poverty headcount (P0, %)",2011,38.6
25-34,"Poverty headcount (P0, %)",2015,41.0
25-34,"Poverty headcount (P0, %)",2023,35.0
35-44,"Poverty headcount (P0, %)",2011,35.0
35-44,"Poverty headcount (P0, %)",2015,36.6
35-44,"Poverty headcount (P0, %)",2023,31.0
45-54,"Poverty headcount (P0, %)",2011,35.0
45-54,"Poverty headcount (P0, %)",2015,34.7
45-54,"Poverty headcount (P0, %)",2023,27.2
55-64,"Poverty headcount (P0, %)",2011,37.3
55-64,"Poverty headcount (P0, %)",2015,37.3
55-64,"Poverty headcount (P0, %)",2023,27.6
65+,"Poverty headcount (P0, %)",2011,38.9
65+,"Poverty headcount (P0, %)",2015,37.2
65+,"Poverty headcount (P0, %)",2023,25.3
South Africa,"Poverty gap (P1, %)",2011,19.7
South Africa,"Poverty gap (P1, %)",2015,20.3
South Africa,"Poverty gap (P1, %)",2023,14.4
0-17,"Poverty gap (P1, %)",2011,25.3
0-17,"Poverty gap (P1, %)",2015,26.7
0-17,"Poverty gap (P1, %)",2023,19.4
18-24,"Poverty gap (P1, %)",2011,21.9
18-24,"Poverty gap (P1, %)",2015,22.2
18-24,"Poverty gap (P1, %)",2023,16.0
25-34,"Poverty gap (P1, %)",2011,15.8
25-34,"Poverty gap (P1, %)",2015,16.9
25-34,"Poverty gap (P1, %)",2023,13.2
35-44,"Poverty gap (P1, %)",2011,14.1
35-44,"Poverty gap (P1, %)",2015,15.2
35-44,"Poverty gap (P1, %)",2023,11.3
45-54,"Poverty gap (P1, %)",2011,14.6
45-54,"Poverty gap (P1, %)",2015,14.0
45-54,"Poverty gap (P1, %)",2023,9.6
55-64,"Poverty gap (P1, %)",2011,15.2
55-64,"Poverty gap (P1, %)",2015,15.3
55-64,"Poverty gap (P1, %)",2023,9.8
65+,"Poverty gap (P1, %)",2011,16.1
65+,"Poverty gap (P1, %)",2015,15.7
65+,"Poverty gap (P1, %)",2023,8.8
South Africa,"Severity of poverty (P2, %)",2011,10.8
South Africa,"Severity of poverty (P2, %)",2015,11.2
South Africa,"Severity of poverty (P2, %)",2023,7.3
0-17,"Severity of poverty (P2, %)",2011,14.2
0-17,"Severity of poverty (P2, %)",2015,15.1
0-17,"Severity of poverty (P2, %)",2023,10.0
18-24,"Severity of poverty (P2, %)",2011,12.1
18-24,"Severity of poverty (P2, %)",2015,12.4
18-24,"Severity of poverty (P2, %)",2023,8.1
25-34,"Severity of poverty (P2, %)",2011,8.5
25-34,"Severity of poverty (P2, %)",2015,9.1
25-34,"Severity of poverty (P2, %)",2023,6.6
35-44,"Severity of poverty (P2, %)",2011,7.5
35-44,"Severity of poverty (P2, %)",2015,8.1
35-44,"Severity of poverty (P2, %)",2023,5.5
45-54,"Severity of poverty (P2, %)",2011,7.8
45-54,"Severity of poverty (P2, %)",2015,7.4
45-54,"Severity of poverty (P2, %)",2023,4.6
55-64,"Severity of poverty (P2, %)",2011,8.1
55-64,"Severity of poverty (P2, %)",2015,8.2
55-64,"Severity of poverty (P2, %)",2023,4.8
65+,"Severity of poverty (P2, %)",2011,8.5
65+,"Severity of poverty (P2, %)",2015,8.5
65+,"Severity of poverty (P2, %)",2023,4.2
