metropolitan_municipality,poverty_measure,year,value_percent
All metros,"Poverty headcount (P0, %)",2011,27.3
All metros,"Poverty headcount (P0, %)",2015,30.1
All metros,"Poverty headcount (P0, %)",2023,27.7
City of Cape Town,"Poverty headcount (P0, %)",2011,19.7
City of Cape Town,"Poverty headcount (P0, %)",2015,25.8
City of Cape Town,"Poverty headcount (P0, %)",2023,19.1
Buffalo City,"Poverty headcount (P0, %)",2011,
Buffalo City,"Poverty headcount (P0, %)",2015,39.0
Buffalo City,"Poverty headcount (P0, %)",2023,33.3
Nelson Mandela Bay,"Poverty headcount (P0, %)",2011,42.0
Nelson Mandela Bay,"Poverty headcount (P0, %)",2015,40.8
Nelson Mandela Bay,"Poverty headcount (P0, %)",2023,30.2
eThekwini Metropolitan,"Poverty headcount (P0, %)",2011,40.4
eThekwini Metropolitan,"Poverty headcount (P0, %)",2015,41.3
eThekwini Metropolitan,"Poverty headcount (P0, %)",2023,40.7
Mangaung Metropolitan,"Poverty headcount (P0, %)",2011,33.0
Mangaung Metropolitan,"Poverty headcount (P0, %)",2015,28.5
Mangaung Metropolitan,"Poverty headcount (P0, %)",2023,30.1
City of Johannesburg,"Poverty headcount (P0, %)",2011,26.7
City of Johannesburg,"Poverty headcount (P0, %)",2015,23.4
City of Johannesburg,"Poverty headcount (P0, %)",2023,24.8
Ekurhuleni,"Poverty headcount (P0, %)",2011,22.8
Ekurhuleni,"Poverty headcount (P0, %)",2015,30.2
Ekurhuleni,"Poverty headcount (P0, %)",2023,24.7
City of Tshwane,"Poverty headcount (P0, %)",2011,19.9
City of Tshwane,"Poverty headcount (P0, %)",2015,26.0
City of Tshwane,"Poverty headcount (P0, %)",2023,30.0
All metros,"Poverty gap (P1, %)",2011,10.1
All metros,"Poverty gap (P1, %)",2015,10.8
All metros,"Poverty gap (P1, %)",2023,9.8
City of Cape Town,"Poverty gap (P1, %)",2011,6.0
City of Cape Town,"Poverty gap (P1, %)",2015,9.0
City of Cape Town,"Poverty gap (P1, %)",2023,6.4
Buffalo City,"Poverty gap (P1, %)",2011,
Buffalo City,"Poverty gap (P1, %)",2015,14.1
Buffalo City,"Poverty gap (P1, %)",2023,11.0
Nelson Mandela Bay,"Poverty gap (P1, %)",2011,18.1
Nelson Mandela Bay,"Poverty gap (P1, %)",2015,16.4
Nelson Mandela Bay,"Poverty gap (P1, %)",2023,9.9
eThekwini Metropolitan,"Poverty gap (P1, %)",2011,16.7
eThekwini Metropolitan,"Poverty gap (P1, %)",2015,16.9
eThekwini Metropolitan,"Poverty gap (P1, %)",2023,16.4
Mangaung Metropolitan,"Poverty gap (P1, %)",2011,12.1
Mangaung Metropolitan,"Poverty gap (P1, %)",2015,9.8
Mangaung Metropolitan,"Poverty gap (P1, %)",2023,9.8
City of Johannesburg,"Poverty gap (P1, %)",2011,9.7
City of Johannesburg,"Poverty gap (P1, %)",2015,7.6
City of Johannesburg,"Poverty gap (P1, %)",2023,8.5
Ekurhuleni,"Poverty gap (P1, %)",2011,7.3
Ekurhuleni,"Poverty gap (P1, %)",2015,9.8
Ekurhuleni,"Poverty gap (P1, %)",2023,8.4
City of Tshwane,"Poverty gap (P1, %)",2011,7.6
City of Tshwane,"Poverty gap (P1, %)",2015,9.3
City of Tshwane,"Poverty gap (P1, %)",2023,10.2
All metros,"Severity of poverty (P2, %)",2011,5.1
All metros,"Severity of poverty (P2, %)",2015,5.3
All metros,"Severity of poverty (P2, %)",2023,4.7
City of Cape Town,"Severity of poverty (P2, %)",2011,2.5
City of Cape Town,"Severity of poverty (P2, %)",2015,4.2
City of Cape Town,"Severity of poverty (P2, %)",2023,3.0
Buffalo City,"Severity of poverty (P2, %)",2011,
Buffalo City,"Severity of poverty (P2, %)",2015,6.9
Buffalo City,"Severity of poverty (P2, %)",2023,4.9
Nelson Mandela Bay,"Severity of poverty (P2, %)",2011,9.5
Nelson Mandela Bay,"Severity of poverty (P2, %)",2015,8.8
Nelson Mandela Bay,"Severity of poverty (P2, %)",2023,4.4
eThekwini Metropolitan,"Severity of poverty (P2, %)",2011,9.2
eThekwini Metropolitan,"Severity of poverty (P2, %)",2015,8.9
eThekwini Metropolitan,"Severity of poverty (P2, %)",2023,8.6
Mangaung Metropolitan,"Severity of poverty (P2, %)",2011,5.9
Mangaung Metropolitan,"Severity of poverty (P2, %)",2015,4.4
Mangaung Metropolitan,"Severity of poverty (P2, %)",2023,4.5
City of Johannesburg,"Severity of poverty (P2, %)",2011,5.0
City of Johannesburg,"Severity of poverty (P2, %)",2015,3.5
City of Johannesburg,"Severity of poverty (P2, %)",2023,3.9
Ekurhuleni,"Severity of poverty (P2, %)",2011,3.5
Ekurhuleni,"Severity of poverty (P2, %)",2015,4.6
Ekurhuleni,"Severity of poverty (P2, %)",2023,4.0
City of Tshwane,"Severity of poverty (P2, %)",2011,3.8
City of Tshwane,"Severity of poverty (P2, %)",2015,4.3
City of Tshwane,"Severity of poverty (P2, %)",2023,4.9
All metros,Poverty share (%),2011,100.0
All metros,Poverty share (%),2015,100.0
All metros,Poverty share (%),2023,100.0
City of Cape Town,Poverty share (%),2011,14.1
City of Cape Town,Poverty share (%),2015,16.1
City of Cape Town,Poverty share (%),2023,12.7
Buffalo City,Poverty share (%),2011,
Buffalo City,Poverty share (%),2015,4.9
Buffalo City,Poverty share (%),2023,3.7
