settlement_type,poverty_measure,year,value_percent
South Africa,"Poverty headcount (P0, %)",2011,45.8
South Africa,"Poverty headcount (P0, %)",2015,46.7
South Africa,"Poverty headcount (P0, %)",2023,37.9
Urban,"Poverty headcount (P0, %)",2011,31.3
Urban,"Poverty headcount (P0, %)",2015,32.3
Urban,"Poverty headcount (P0, %)",2023,29.1
Rural,"Poverty headcount (P0, %)",2011,70.9
Rural,"Poverty headcount (P0, %)",2015,73.9
Rural,"Poverty headcount (P0, %)",2023,54.7
South Africa,"Poverty gap (P1, %)",2011,19.7
South Africa,"Poverty gap (P1, %)",2015,20.3
South Africa,"Poverty gap (P1, %)",2023,14.4
Urban,"Poverty gap (P1, %)",2011,11.8
Urban,"Poverty gap (P1, %)",2015,11.8
Urban,"Poverty gap (P1, %)",2023,10.3
Rural,"Poverty gap (P1, %)",2011,33.3
Rural,"Poverty gap (P1, %)",2015,36.2
Rural,"Poverty gap (P1, %)",2023,22.1
South Africa,"Severity of poverty (P2, %)",2011,10.8
South Africa,"Severity of poverty (P2, %)",2015,11.2
South Africa,"Severity of poverty (P2, %)",2023,7.3
Urban,"Severity of poverty (P2, %)",2011,6.0
Urban,"Severity of poverty (P2, %)",2015,5.8
Urban,"Severity of poverty (P2, %)",2023,5.0
Rural,"Severity of poverty (P2, %)",2011,19.1
Rural,"Severity of poverty (P2, %)",2015,21.5
Rural,"Severity of poverty (P2, %)",2023,11.5
South Africa,Poverty share (%),2011,100.0
South Africa,Poverty share (%),2015,100.0
South Africa,Poverty share (%),2023,100.0
Urban,Poverty share (%),2011,43.3
Urban,Poverty share (%),2015,45.2
Urban,Poverty share (%),2023,50.2
Rural,Poverty share (%),2011,56.7
Rural,Poverty share (%),2015,54.8
Rural,Poverty share (%),2023,49.8
