ward,voting_districts,registered_voters
52106001,4,"6,348"
52106002,3,"5,780"
52106003,3,"5,499"
52106004,5,"6,622"
52106005,3,"4,937"
52106006,2,"5,410"
52106007,5,"5,863"
52106008,6,"5,599"
52106009,5,"5,797"
52106010,4,"5,723"
52106011,6,"6,023"
52106012,4,"7,254"
52106013,6,"5,503"
52106014,7,"4,442"
52106015,6,"6,312"
52106016,4,"6,045"
52106017,5,"5,737"
52106018,2,"4,211"
52106019,1,"5,642"
52106020,4,"6,163"
52106021,6,"6,343"
52106022,6,"5,607"
52106023,5,"5,966"
52106024,5,"6,384"
52106025,5,"5,872"
52106026,2,"4,615"
52106027,3,"6,757"
52106028,4,"4,864"
52106029,7,"5,561"
52106030,8,"4,901"
52106031,4,"4,832"
52106032,6,"5,379"
52106033,5,"4,766"
52106034,8,"4,920"
52106035,6,"4,506"
52106036,7,"4,958"
