ward,voting_districts,registered_voters
52205001,7,"8,819"
52205002,7,"7,948"
52205003,9,"10,072"
52205004,6,"7,760"
52205005,9,"10,393"
52205006,9,"8,985"
52205007,8,"8,508"
52205008,7,"7,887"
52205009,8,"8,961"
52205010,6,"8,002"
52205011,7,"10,060"
52205012,6,"7,910"
52205013,5,"8,759"
52205014,4,"8,156"
52205015,5,"9,317"
52205016,6,"9,775"
52205017,7,"9,843"
52205018,3,"8,108"
52205019,6,"8,962"
52205020,4,"8,047"
52205021,5,"8,125"
52205022,5,"8,911"
52205023,3,"8,700"
52205024,7,"10,266"
52205025,3,"8,482"
52205026,6,"9,504"
52205027,5,"9,065"
52205028,5,"9,669"
52205029,4,"7,970"
52205030,6,"10,296"
52205031,5,"9,412"
52205032,6,"10,127"
52205033,5,"9,982"
52205034,6,"8,973"
52205035,4,"9,849"
52205036,4,"9,825"
52205037,6,"8,754"
52205038,4,"7,781"
52205039,9,"7,560"
52205040,9,"7,006"
52205041,4,"9,737"
