ward,voting_districts,registered_voters
52308001,4,"5,020"
52308002,2,"4,411"
52308003,3,"4,705"
52308004,2,"3,598"
52308005,3,"4,772"
52308006,3,"4,303"
52308007,5,"5,818"
52308008,4,"5,630"
52308009,3,"5,762"
52308010,4,"5,619"
52308011,4,"5,811"
52308012,4,"5,608"
52308013,3,"4,117"
52308014,5,"5,236"
52308015,4,"4,718"
52308016,4,"4,504"
52308017,4,"4,542"
52308018,4,"3,275"
52308019,5,"4,482"
52308020,2,"4,868"
52308021,3,"4,593"
52308022,5,"5,467"
52308023,5,"4,694"
52308024,8,"4,762"
52308025,4,"5,093"
52308026,8,"3,854"
52308027,3,"4,962"
52308028,6,"5,064"
52308029,9,"5,143"
52308030,6,"4,595"
52308031,8,"4,457"
52308032,6,"5,466"
52308033,4,"5,114"
52308034,5,"4,743"
52308035,7,"6,399"
52308036,6,"5,437"
52308037,5,"4,693"
