geography_level,geography_name,indicator,year,value,unit,source
Province,KwaZulu-Natal,"Poverty headcount (P0, %)",2011,56.9,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,"Poverty headcount (P0, %)",2015,59.6,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,"Poverty headcount (P0, %)",2023,49.6,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,"Poverty gap (P1, %)",2011,25.9,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,"Poverty gap (P1, %)",2015,27.1,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,"Poverty gap (P1, %)",2023,21.2,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,"Severity of poverty (P2, %)",2011,14.7,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,"Severity of poverty (P2, %)",2015,15.3,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,"Severity of poverty (P2, %)",2023,11.4,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,Poverty share (%),2011,24.7,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,Poverty share (%),2015,24.9,%,StatsSA Poverty Trends (LBPL) by Province
Province,KwaZulu-Natal,Poverty share (%),2023,24.8,%,StatsSA Poverty Trends (LBPL) by Province
Metro,eThekwini Metropolitan,"Poverty headcount (P0, %)",2011,40.4,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,"Poverty headcount (P0, %)",2015,41.3,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,"Poverty headcount (P0, %)",2023,40.7,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,"Poverty gap (P1, %)",2011,16.7,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,"Poverty gap (P1, %)",2015,16.9,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,"Poverty gap (P1, %)",2023,16.4,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,"Severity of poverty (P2, %)",2011,9.2,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,"Severity of poverty (P2, %)",2015,8.9,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,"Severity of poverty (P2, %)",2023,8.6,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,Poverty share (%),2011,26.0,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,Poverty share (%),2015,23.7,%,StatsSA Poverty Trends by Metro Municipality
Metro,eThekwini Metropolitan,Poverty share (%),2023,22.9,%,StatsSA Poverty Trends by Metro Municipality
Province,KwaZulu-Natal,"Food poverty headcount (FPL, %)",2011,29.1,%,StatsSA Food Poverty Headcount by Province (FPL)
Province,KwaZulu-Natal,"Food poverty headcount (FPL, %)",2015,31.0,%,StatsSA Food Poverty Headcount by Province (FPL)
Province,KwaZulu-Natal,"Food poverty headcount (FPL, %)",2023,27.3,%,StatsSA Food Poverty Headcount by Province (FPL)
Province,KwaZulu-Natal,Gini coefficient (income per capita),2011,0.672,index (0-1),StatsSA Income Inequality (Gini)
Province,KwaZulu-Natal,Gini coefficient (income per capita),2015,0.645,index (0-1),StatsSA Income Inequality (Gini)
Province,KwaZulu-Natal,Gini coefficient (income per capita),2023,0.604,index (0-1),StatsSA Income Inequality (Gini)
