ward,voting_districts,registered_voters
59500001,14,"19,964"
59500002,21,"21,172"
59500003,13,"17,103"
59500004,9,"20,987"
59500005,5,"14,950"
59500006,7,"18,454"
59500007,7,"16,867"
59500008,12,"20,847"
59500009,10,"20,985"
59500010,8,"20,505"
59500011,8,"21,901"
59500012,7,"17,495"
59500013,7,"17,318"
59500014,8,"20,024"
59500015,7,"19,835"
59500016,7,"19,791"
59500017,9,"22,433"
59500018,6,"20,995"
59500019,8,"20,199"
59500020,7,"16,140"
59500021,6,"18,025"
59500022,6,"16,753"
59500023,6,"21,174"
59500024,6,"17,529"
59500025,6,"18,854"
59500026,3,"17,971"
59500027,7,"18,860"
59500028,5,"22,645"
59500029,3,"18,596"
59500030,8,"20,158"
59500031,8,"20,599"
59500032,5,"19,777"
59500033,9,"24,254"
59500034,6,"18,405"
59500035,5,"20,541"
59500036,5,"19,314"
59500037,6,"19,855"
59500038,7,"15,182"
59500039,5,"16,802"
59500040,7,"18,533"
59500041,5,"17,053"
59500042,8,"18,545"
59500043,7,"16,185"
59500044,7,"16,686"
59500045,7,"17,493"
59500046,5,"15,572"
59500047,6,"16,016"
59500048,7,"16,258"
59500049,8,"20,047"
59500050,7,"15,169"
59500051,7,"17,741"
59500052,7,"15,432"
59500053,4,"14,901"
59500054,5,"14,189"
59500055,8,"16,419"
59500056,9,"18,871"
59500057,7,"15,270"
59500058,11,"20,251"
59500059,9,"16,267"
59500060,6,"21,979"
59500061,7,"16,381"
59500062,7,"16,596"
59500063,6,"20,252"
59500064,8,"21,094"
59500065,8,"19,916"
59500066,6,"18,908"
59500067,8,"16,969"
59500068,9,"21,089"
59500069,9,"17,319"
59500070,10,"16,914"
59500071,5,"19,242"
59500072,6,"19,869"
59500073,9,"16,367"
59500074,6,"15,873"
59500075,5,"14,944"
59500076,7,"16,303"
59500077,8,"19,862"
59500078,7,"17,769"
59500079,6,"19,940"
59500080,6,"14,970"
59500081,8,"17,765"
59500082,7,"15,003"
59500083,8,"17,862"
59500084,7,"15,188"
59500085,7,"15,859"
59500086,6,"16,873"
59500087,5,"14,463"
59500088,7,"17,836"
59500089,4,"18,348"
59500090,7,"18,614"
59500091,8,"16,209"
59500092,7,"17,745"
59500093,7,"17,974"
59500094,8,"19,282"
59500095,6,"19,899"
59500096,13,"18,216"
59500097,5,"18,320"
59500098,10,"21,063"
59500099,9,"17,935"
59500100,17,"16,375"
59500101,4,"18,890"
59500102,5,"16,632"
59500103,12,"21,012"
59500104,4,"15,719"
59500105,26,"16,780"
59500106,6,"16,132"
59500107,5,"16,071"
59500108,10,"15,302"
59500109,7,"19,849"
59500110,5,"19,858"
59500111,11,"15,638"
59500112,6,"17,140"
