ward,voting_districts,registered_voters
52702001,6,"4,343"
52702002,5,"3,589"
52702003,6,"5,727"
52702004,6,"5,340"
52702005,5,"4,121"
52702006,4,"5,265"
52702007,4,"4,416"
52702008,3,"6,791"
52702009,7,"5,341"
52702010,5,"4,872"
52702011,4,"4,777"
52702012,4,"5,236"
52702013,3,"4,435"
52702014,6,"4,789"
52702015,4,"5,300"
52702016,3,"4,557"
52702017,8,"5,024"
52702018,6,"4,985"
52702019,5,"5,002"
52702020,5,"4,383"
52702021,6,"5,237"
52702022,6,"4,074"
52702023,4,"3,704"
52702024,4,"4,999"
52702025,3,"4,915"
