ward,voting_districts,registered_voters
52804001,5,"2,938"
52804002,7,"4,651"
52804003,9,"4,429"
52804004,6,"4,732"
52804005,7,"3,638"
52804006,8,"4,489"
52804007,5,"3,575"
52804008,7,"5,656"
52804009,6,"4,697"
52804010,5,"5,225"
52804011,4,"3,649"
52804012,4,"4,533"
52804013,5,"3,403"
52804014,5,"3,702"
52804015,6,"5,288"
52804016,4,"3,367"
52804017,7,"5,705"
52804018,4,"3,576"
52804019,5,"5,117"
52804020,4,"3,618"
52804021,7,"4,395"
52804022,6,"4,210"
52804023,6,"3,694"
52804024,4,"4,122"
52804025,6,"4,156"
52804026,6,"5,159"
52804027,4,"2,696"
52804028,3,"3,953"
