ward,voting_districts,registered_voters
52502001,8,"5,341"
52502002,3,"5,488"
52502003,2,"4,526"
52502004,3,"4,597"
52502005,3,"4,023"
52502006,4,"5,367"
52502007,2,"5,195"
52502008,3,"5,754"
52502009,3,"6,288"
52502010,4,"4,937"
52502011,3,"5,435"
52502012,4,"5,111"
52502013,3,"6,573"
52502014,3,"5,634"
52502015,3,"5,396"
52502016,2,"5,293"
52502017,4,"6,037"
52502018,4,"6,431"
52502019,4,"7,283"
52502020,3,"6,207"
52502021,6,"5,290"
52502022,3,"4,888"
52502023,4,"6,148"
52502024,4,"7,057"
52502025,3,"5,882"
52502026,4,"5,889"
52502027,4,"6,065"
52502028,4,"6,794"
52502029,3,"4,484"
52502030,4,"5,451"
52502031,3,"5,818"
52502032,3,"4,742"
52502033,3,"5,096"
52502034,2,"5,111"
52502035,6,"6,993"
52502036,3,"4,902"
