ward,voting_districts,registered_voters
52606001,7,"4,018"
52606002,7,"4,718"
52606003,5,"3,891"
52606004,7,"4,621"
52606005,8,"4,485"
52606006,6,"4,188"
52606007,6,"3,628"
52606008,6,"4,517"
52606009,6,"4,605"
52606010,8,"3,573"
52606011,5,"3,829"
52606012,4,"4,472"
52606013,7,"4,038"
52606014,7,"4,025"
52606015,6,"3,656"
52606016,6,"4,017"
52606017,7,"4,577"
52606018,5,"4,206"
52606019,7,"4,340"
52606020,6,"3,919"
52606021,6,"4,506"
52606022,2,"4,248"
52606023,5,"4,125"
52606024,7,"3,672"
52606025,5,"3,800"
