ward,voting_districts,registered_voters
52802001,3,"6,346"
52802002,4,"3,851"
52802003,3,"7,014"
52802004,4,"5,567"
52802005,6,"5,902"
52802006,4,"5,500"
52802007,3,"5,590"
52802008,3,"5,398"
52802009,3,"6,443"
52802010,5,"5,873"
52802011,6,"5,298"
52802012,6,"8,180"
52802013,3,"4,682"
52802014,5,"4,091"
52802015,4,"5,954"
52802016,3,"5,269"
52802017,4,"6,624"
52802018,4,"6,587"
52802019,3,"6,360"
52802020,4,"6,573"
52802021,4,"5,532"
52802022,3,"6,799"
52802023,4,"5,780"
52802024,6,"7,687"
52802025,5,"6,792"
52802026,3,"6,381"
52802027,4,"6,519"
52802028,4,"6,817"
52802029,5,"7,291"
52802030,3,"5,662"
52802031,4,"5,382"
52802032,8,"6,492"
52802033,4,"5,930"
52802034,3,"5,308"
52802035,3,"6,672"
52802036,2,"5,934"
