ward,voting_districts,registered_voters
52902001,6,"7,015"
52902002,3,"5,400"
52902003,9,"5,266"
52902004,1,"6,079"
52902005,2,"4,985"
52902006,2,"5,500"
52902007,1,"4,713"
52902008,1,"5,045"
52902009,6,"6,328"
52902010,3,"5,412"
52902011,3,"6,491"
52902012,2,"4,796"
52902013,3,"4,010"
52902014,3,"5,845"
52902015,2,"4,428"
52902016,3,"5,178"
52902017,2,"4,657"
52902018,2,"5,436"
52902019,4,"6,194"
52902020,4,"5,880"
52902021,4,"4,601"
52902022,2,"8,790"
52902023,2,"6,258"
52902024,4,"8,120"
52902025,5,"5,588"
52902026,3,"6,291"
52902027,7,"5,640"
52902028,3,"3,775"
52902029,2,"4,892"
52902030,2,"5,459"
